,device_id,datetime,address_ip,address_port,original_message_id,status,lat,lat_dir,lon,lon_dir,spd_over_grnd,true_course,datestamp,mag_variation,mag_var_dir
70,st-1a2090,2019-02-13 10:41:36,172.23.0.1,4007,1550058096360-0,A,51.901004,N,5.541885333333333,E,0.0,58.51,130219,1.4,E
71,st-1a2090,2019-02-13 10:41:38,172.23.0.1,4007,1550058098628-0,A,51.901004,N,5.541885333333333,E,0.0,65.09,130219,1.4,E
72,st-1a2090,2019-02-13 10:41:39,172.23.0.1,4007,1550058099361-0,A,51.901004,N,5.541885333333333,E,0.0,75.99,130219,1.4,E
73,st-1a2090,2019-02-13 10:41:39,172.23.0.1,4007,1550058099963-0,A,51.901004,N,5.541885333333333,E,0.0,65.67,130219,1.4,E
74,st-1a2090,2019-02-13 10:41:40,172.23.0.1,4007,1550058100368-0,A,51.901004,N,5.541885333333333,E,0.0,65.16,130219,1.4,E
75,st-1a2090,2019-02-13 10:41:40,172.23.0.1,4007,1550058100859-0,A,51.901004,N,5.541885333333333,E,0.0,59.0,130219,1.4,E
76,st-1a2090,2019-02-13 10:41:41,172.23.0.1,4007,1550058101462-0,A,51.901004,N,5.541885333333333,E,0.0,62.74,130219,1.4,E
77,st-1a2090,2019-02-13 10:41:42,172.23.0.1,4007,1550058102119-0,A,51.901004,N,5.541885333333333,E,0.0,55.23,130219,1.4,E
78,st-1a2090,2019-02-13 10:41:42,172.23.0.1,4007,1550058102541-0,A,51.901004,N,5.541885333333333,E,0.0,57.5,130219,1.4,E
79,st-1a2090,2019-02-13 10:41:42,172.23.0.1,4007,1550058102867-0,A,51.901003833333334,N,5.541885333333333,E,0.0,67.82,130219,1.4,E
80,st-1a2090,2019-02-13 10:41:43,172.23.0.1,4007,1550058103370-1,A,51.901003833333334,N,5.541885333333333,E,0.0,71.04,130219,1.4,E
81,st-1a2090,2019-02-13 10:41:43,172.23.0.1,4007,1550058103857-0,A,51.901003833333334,N,5.541885333333333,E,0.0,72.53,130219,1.4,E
82,st-1a2090,2019-02-13 10:41:44,172.23.0.1,4007,1550058104360-0,A,51.901003833333334,N,5.541885333333333,E,0.0,69.37,130219,1.4,E
83,st-1a2090,2019-02-13 10:47:38,172.23.0.1,4007,1550058458860-0,A,51.901004,N,5.5418825,E,0.0,99.31,130219,1.4,E
84,st-1a2090,2019-02-13 10:47:39,172.23.0.1,4007,1550058459362-0,A,51.90100416666667,N,5.5418825,E,0.0,93.39,130219,1.4,E
85,st-1a2090,2019-02-13 10:52:40,172.23.0.1,4007,1550058760362-0,A,51.901003333333335,N,5.541881833333333,E,0.0,72.0,130219,1.4,E
86,st-1a2090,2019-02-13 10:52:41,172.23.0.1,4007,1550058761458-0,A,51.901003333333335,N,5.541881833333333,E,0.0,74.25,130219,1.4,E
87,st-1a2090,2019-02-13 10:52:42,172.23.0.1,4007,1550058762130-0,A,51.901003333333335,N,5.541881833333333,E,0.0,68.9,130219,1.4,E
88,st-1a2090,2019-02-13 10:52:42,172.23.0.1,4007,1550058762547-0,A,51.901003333333335,N,5.541881833333333,E,0.0,68.07,130219,1.4,E
89,st-1a2090,2019-02-13 10:52:42,172.23.0.1,4007,1550058762861-0,A,51.901003333333335,N,5.541881833333333,E,0.0,74.81,130219,1.4,E
90,st-1a2090,2019-02-13 10:52:43,172.23.0.1,4007,1550058763363-0,A,51.901003333333335,N,5.541881833333333,E,0.0,80.47,130219,1.4,E
91,st-1a2090,2019-02-13 10:52:43,172.23.0.1,4007,1550058763864-0,A,51.901003333333335,N,5.541881833333333,E,0.0,84.3,130219,1.4,E
92,st-1a2090,2019-02-13 10:52:44,172.23.0.1,4007,1550058764362-0,A,51.901003333333335,N,5.541881833333333,E,0.0,89.87,130219,1.4,E
93,st-1a2090,2019-02-13 10:52:45,172.23.0.1,4007,1550058765295-0,A,51.901003333333335,N,5.541881833333333,E,0.0,97.29,130219,1.4,E
94,st-1a2090,2019-02-13 11:15:23,172.23.0.1,4007,1550060123362-0,A,51.901006,N,5.5418715,E,0.0,89.38,130219,1.4,E
95,st-1a2090,2019-02-11 12:18:53,192.168.240.1,4007,1549891133969-1,A,51.020301333333336,N,6.976119,E,0.0,89.64,110219,1.8,E
128,0001,2019-02-13 14:11:12,172.19.0.17,4007,1550070672469-0,A,51.31830733333334,N,4.3157215,E,0.0,71.0,150218,0.8,E
129,0001,2019-02-13 13:10:46,172.19.0.11,4007,1550067046922-0,A,51.31830733333334,N,4.3157215,E,0.0,71.0,150218,0.8,E
130,0001,2019-02-13 14:11:12,172.19.0.17,4007,1550070672981-0,A,51.31830733333334,N,4.3157215,E,0.0,72.1,150218,0.8,E
131,0001,2019-02-13 14:44:18,172.19.0.16,4007,1550072658737-0,A,51.31830733333334,N,4.3157215,E,0.0,72.1,150218,0.8,E
132,0001,2019-02-13 14:11:13,172.19.0.17,4007,1550070673547-0,A,51.31830733333334,N,4.3157215,E,0.0,77.96,150218,0.8,E
133,0001,2019-02-13 14:44:19,172.19.0.16,4007,1550072659302-0,A,51.31830733333334,N,4.3157215,E,0.0,77.96,150218,0.8,E
134,0001,2019-02-13 14:11:14,172.19.0.17,4007,1550070674226-0,A,51.31830733333334,N,4.3157215,E,0.0,74.89,150218,0.8,E
135,0001,2019-02-13 14:33:18,172.19.0.16,4007,1550071998018-0,A,51.31830733333334,N,4.3157215,E,0.0,74.89,150218,0.8,E
136,0001,2019-02-13 14:11:14,172.19.0.17,4007,1550070674645-0,A,51.31830716666666,N,4.3157215,E,0.0,79.09,150218,0.8,E
137,0001,2019-02-13 14:33:18,172.19.0.16,4007,1550071998438-0,A,51.31830716666666,N,4.3157215,E,0.0,79.09,150218,0.8,E
138,0001,2019-02-13 14:33:19,172.19.0.16,4007,1550071999240-0,A,51.31830716666666,N,4.315721666666667,E,0.0,97.49,150218,0.8,E
139,0001,2019-02-13 14:11:15,172.19.0.17,4007,1550070675447-0,A,51.31830716666666,N,4.315721666666667,E,0.0,97.49,150218,0.8,E
140,0001,2019-02-13 14:11:22,172.19.0.17,4007,1550070682091-1,A,51.31830683333333,N,4.315722,E,0.0,80.25,150218,0.8,E
141,0001,2019-02-13 14:22:23,172.19.0.16,4007,1550071343945-0,A,51.31830683333333,N,4.315722,E,0.0,80.25,150218,0.8,E
142,0001,2019-02-14 08:34:52,172.19.0.17,4007,1550136892006-0,A,51.31830683333333,N,4.315722,E,0.0,80.25,150218,0.8,E
143,0001,2019-02-13 14:22:24,172.19.0.16,4007,1550071344341-0,A,51.31830683333333,N,4.315722,E,0.0,89.98,150218,0.8,E
144,0001,2019-02-13 14:11:22,172.19.0.17,4007,1550070682487-0,A,51.31830683333333,N,4.315722,E,0.0,89.98,150218,0.8,E
145,0001,2019-02-14 08:34:52,172.19.0.17,4007,1550136892406-0,A,51.31830683333333,N,4.315722,E,0.0,89.98,150218,0.8,E
146,0001,2019-02-13 14:33:28,172.19.0.16,4007,1550072008028-0,A,51.318306666666665,N,4.315722,E,0.0,93.42,150218,0.8,E
147,0001,2019-02-13 14:11:24,172.19.0.17,4007,1550070684235-0,A,51.318306666666665,N,4.315722,E,0.0,93.42,150218,0.8,E
148,0001,2019-02-13 14:22:26,172.19.0.16,4007,1550071346088-0,A,51.318306666666665,N,4.315722,E,0.0,93.42,150218,0.8,E
149,0001,2019-02-13 14:33:28,172.19.0.16,4007,1550072008464-1,A,51.318306666666665,N,4.315722,E,0.0,88.63,150218,0.8,E
150,0001,2019-02-13 14:11:24,172.19.0.17,4007,1550070684671-0,A,51.318306666666665,N,4.315722,E,0.0,88.63,150218,0.8,E
151,0001,2019-02-13 14:11:24,172.19.0.17,4007,1550070684992-0,A,51.318306666666665,N,4.315722166666666,E,0.0,85.88,150218,0.8,E
152,0001,2019-02-13 14:33:29,172.19.0.16,4007,1550072009258-0,A,51.318306666666665,N,4.315722166666666,E,0.0,73.67,150218,0.8,E
